МЕСТО;ШИРОТА;ДОЛГОТА;ОПИСАНИЕ
Место1;55.7732152396152;37.6770233741112;-
Место3;55.7662214779382;37.6796430953028;Санкт-Петербург, ул. Миргородская, 3. Больница №30 им. С.П. Боткина;
Место5;55.7603322090502;37.7497379583972;Санкт-Петербург, проспект Большевиков, д. 52.  ОАО "Север-Западное Электромеханическое объединение"
Место7;55.7732152396152;37.6770233741112;Санкт-Петербург, Гродненский пер, д.8/10. ГОУ средняя школа № 193
Место5;55.7603322090502;37.7497379583972;Санкт-Петербург, проспект Большевиков, д. 52.  ОАО "Север-Западное Электромеханическое объединение"
Место6;55.7712970495817;37.5997874480911;Санкт-Петербург, Аэропорт Пулково. Аэропорт 'Пулково-1'
Место0;60.018855;30.415520;
Место1;55.7732152396152;37.6770233741112;-
Место5;55.7603322090502;37.7497379583972;Санкт-Петербург, проспект Большевиков, д. 52.  ОАО "Север-Западное Электромеханическое объединение"
Место5;55.7603322090502;37.7497379583972;Санкт-Петербург, проспект Большевиков, д. 52.  ОАО "Север-Западное Электромеханическое объединение"
Место6;55.7712970495817;37.5997874480911;Санкт-Петербург, Аэропорт Пулково. Аэропорт 'Пулково-1'
Место1;55.7732152396152;37.6770233741112;-
Место3;55.7662214779382;37.6796430953028;Санкт-Петербург, ул. Миргородская, 3. Больница №30 им. С.П. Боткина;
Место5;55.7603322090502;37.7497379583972;Санкт-Петербург, проспект Большевиков, д. 52.  ОАО "Север-Западное Электромеханическое объединение"
Место6;55.7712970495817;37.5997874480911;Санкт-Петербург, Аэропорт Пулково. Аэропорт 'Пулково-1'
Место1;55.7732152396152;37.6770233741112;-
Место7;55.7732152396152;37.6770233741112;Санкт-Петербург, Гродненский пер, д.8/10. ГОУ средняя школа № 193
Место3;55.7662214779382;37.6796430953028;Санкт-Петербург, ул. Миргородская, 3. Больница №30 им. С.П. Боткина;
Место5;55.7603322090502;37.7497379583972;Санкт-Петербург, проспект Большевиков, д. 52.  ОАО "Север-Западное Электромеханическое объединение"
Место6;55.7712970495817;37.5997874480911;Санкт-Петербург, Аэропорт Пулково. Аэропорт 'Пулково-1'
Место1;55.7732152396152;37.6770233741112;-
Место5;55.7603322090502;37.7497379583972;Санкт-Петербург, проспект Большевиков, д. 52.  ОАО "Север-Западное Электромеханическое объединение"
Место6;55.7712970495817;37.5997874480911;Санкт-Петербург, Аэропорт Пулково. Аэропорт 'Пулково-1'
Место5;55.7603322090502;37.7497379583972;Санкт-Петербург, проспект Большевиков, д. 52.  ОАО "Север-Западное Электромеханическое объединение"
Место1;55.7732152396152;37.6770233741112;-
Место3;55.7662214779382;37.6796430953028;Санкт-Петербург, ул. Миргородская, 3. Больница №30 им. С.П. Боткина;
Место5;55.7603322090502;37.7497379583972;Санкт-Петербург, проспект Большевиков, д. 52.  ОАО "Север-Западное Электромеханическое объединение"
Место5;55.7603322090502;37.7497379583972;Санкт-Петербург, проспект Большевиков, д. 52.  ОАО "Север-Западное Электромеханическое объединение"
Место7;55.7732152396152;37.6770233741112;Санкт-Петербург, Гродненский пер, д.8/10. ГОУ средняя школа № 193
Место5;55.7603322090502;37.7497379583972;Санкт-Петербург, проспект Большевиков, д. 52.  ОАО "Север-Западное Электромеханическое объединение"
Место1;55.7732152396152;37.6770233741112;-
Место5;55.7603322090502;37.7497379583972;Санкт-Петербург, проспект Большевиков, д. 52.  ОАО "Север-Западное Электромеханическое объединение"
Место5;55.7603322090502;37.7497379583972;Санкт-Петербург, проспект Большевиков, д. 52.  ОАО "Север-Западное Электромеханическое объединение"
Место5;55.7603322090502;37.7497379583972;Санкт-Петербург, проспект Большевиков, д. 52.  ОАО "Север-Западное Электромеханическое объединение"
Место6;55.7712970495817;37.5997874480911;Санкт-Петербург, Аэропорт Пулково. Аэропорт 'Пулково-1'